ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
400
ITEM: BOX BOUNDS pp pp pp
0 1
0 1
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.575 0.775 5.18688e+20 -56.1551 -5.52507 274.869 
0.775 0.775 5.18727e+20 6.0618 -9.1211 282.701 
0.975 0.775 5.18701e+20 62.1216 -0.115644 272.825 
0.575 0.825 5.18701e+20 -50.3336 -10.8904 273.429 
0.775 0.825 5.18714e+20 8.82359 -29.0227 282.731 
0.975 0.825 5.18688e+20 53.3706 -5.80303 271.814 
0.575 0.875 5.18662e+20 -39.4695 -20.235 271.94 
0.775 0.875 5.18662e+20 7.30093 -43.2375 277.423 
0.975 0.875 5.18688e+20 41.848 -6.74253 268.495 
0.575 0.925 5.18688e+20 -24.965 -25.5159 266.568 
0.775 0.925 5.18701e+20 3.08236 -53.1301 273.015 
0.975 0.925 5.18688e+20 27.1743 -9.07818 266.363 
0.575 0.975 5.18675e+20 -10.9423 -28.2118 265.313 
0.775 0.975 5.18688e+20 3.008 -58.958 272.919 
0.975 0.975 5.18688e+20 8.74764 -8.94899 264.898 
0.625 0.525 5.18662e+20 -7.22376 43.2718 268.023 
0.825 0.525 5.18688e+20 2.54675 54.0608 271.763 
0.625 0.575 5.18701e+20 -19.7829 38.5425 270.538 
0.825 0.575 5.18701e+20 12.2772 49.2811 269.022 
0.625 0.625 5.18688e+20 -30.0131 30.6184 274.745 
0.825 0.625 5.18688e+20 19.2938 37.0967 275.303 
0.625 0.675 5.18688e+20 -38.8641 18.4865 275.09 
0.825 0.675 5.18701e+20 24.194 25.5128 276.225 
0.625 0.725 5.18675e+20 -42.7089 5.10679 278.593 
0.825 0.725 5.18675e+20 29.8643 8.72749 279.088 
0.625 0.775 5.18714e+20 -44.5653 -6.66 276.086 
0.825 0.775 5.18675e+20 26.0336 -7.99771 281.261 
0.625 0.825 5.18675e+20 -38.9991 -18.988 275.203 
0.825 0.825 5.18714e+20 23.9527 -22.5515 277.275 
