TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.5052e-05,-1.0273e-05,2.7022e+25,-1.3155,-0.62126,270.51
-1.5052e-05,-9.7956e-06,2.7005e+25,-1.5164,-0.38294,271.28
-1.5052e-05,-9.3178e-06,2.6795e+25,-1.2144,0.4136,273.1
-1.5052e-05,-8.8399e-06,2.6838e+25,-0.26576,1.0175,273.61
-1.5052e-05,-8.3621e-06,2.6854e+25,0.51527,0.98823,272.99
-1.5052e-05,-7.8842e-06,2.6864e+25,0.79737,1.1762,272.94
-1.5052e-05,-7.4064e-06,2.6835e+25,0.51963,1.1192,272.36
-1.5052e-05,-6.9286e-06,2.6934e+25,-0.69243,0.82189,271.02
-1.5052e-05,-6.4508e-06,2.7005e+25,-0.69702,0.68459,271.21
-1.5052e-05,-5.9729e-06,2.6893e+25,-0.93287,1.2255,271.54
-1.5052e-05,-5.4951e-06,2.6813e+25,-0.99533,1.5843,273.06
-1.5052e-05,-5.0173e-06,2.684e+25,-0.65862,1.8964,272.71
-1.5052e-05,-4.5394e-06,2.6859e+25,-0.43591,2.5269,273
-1.5052e-05,-4.0616e-06,2.687e+25,-0.2532,2.6221,272.54
-1.5052e-05,-3.5838e-06,2.6825e+25,-0.29534,2.4385,272.62
-1.5052e-05,-3.1059e-06,2.6903e+25,-1.0133,2.7808,272.1
-1.5052e-05,-2.6281e-06,2.6903e+25,-1.4514,2.9616,272.1
-1.5052e-05,-2.1502e-06,2.6984e+25,-1.7136,2.9925,270.96
-1.5052e-05,-1.6724e-06,2.7136e+25,-0.21933,3.0691,270.1
-1.5052e-05,-1.1946e-06,2.7043e+25,0.060103,3.3889,270.87
-1.5052e-05,-7.1675e-07,2.6953e+25,-0.48121,3.4098,271.41
-1.5052e-05,-2.3892e-07,2.6946e+25,0.58578,2.8418,271.65
-1.5052e-05,2.3892e-07,2.7001e+25,1.8225,3.0503,270.92
-1.5052e-05,7.1675e-07,2.6979e+25,0.80033,3.137,271.61
-1.5052e-05,1.1946e-06,2.6837e+25,0.28025,2.9719,272.52
-1.5052e-05,1.6724e-06,2.6856e+25,0.29052,2.9453,271.93
-1.5052e-05,2.1502e-06,2.6871e+25,-0.29075,3.1549,272.08
-1.5052e-05,2.6281e-06,2.6882e+25,-1.5269,3.0965,271.9
-1.5052e-05,3.1059e-06,2.6911e+25,-0.9409,3.1872,271.7
-1.5052e-05,3.5838e-06,2.688e+25,0.91237,3.4858,271.46
-1.5052e-05,4.0616e-06,2.6953e+25,0.76112,3.7243,270.9
-1.5052e-05,4.5394e-06,2.6967e+25,0.11199,3.5546,271.23
-1.5052e-05,5.0173e-06,2.6971e+25,-0.26546,4.1188,271.03
-1.5052e-05,5.4951e-06,2.6884e+25,-0.90277,4.7803,271.42
-1.5052e-05,5.9729e-06,2.6865e+25,-0.080913,4.8504,271.51
-1.5052e-05,6.4508e-06,2.6802e+25,0.64075,4.5,272.76
-1.5052e-05,6.9286e-06,2.6812e+25,1.4001,4.3019,271.99
-1.5052e-05,7.4064e-06,2.6937e+25,1.3343,4.4552,272.11
-1.5052e-05,7.8842e-06,2.6815e+25,-0.24596,5.0531,272.65
-1.5052e-05,8.3621e-06,2.6738e+25,-1.1636,4.818,272.94
-1.5052e-05,8.8399e-06,2.6895e+25,-1.8323,4.7682,271.86
-1.5052e-05,9.3178e-06,2.6863e+25,-2.2924,4.333,271.27
