TITLE = "cavity_20000"
 VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
 ZONE T="cavity", I=100, J=100, K=1, F=POINT
-2.5542e-08 5.1083e-09 2.5905e+25 -1.3902 7.7157 271.49
-2.5542e-08 6.2435e-09 2.59e+25 -1.0727 7.6763 271.5
-2.5542e-08 7.3787e-09 2.5857e+25 -1.1492 7.8098 271.3
-2.5542e-08 8.5138e-09 2.5808e+25 -1.2631 8.1692 271.62
-2.5542e-08 9.649e-09 2.5755e+25 -1.1804 8.211 271.5
-2.5542e-08 1.0784e-08 2.5681e+25 -0.78034 8.5036 271.55
-2.5542e-08 1.1919e-08 2.5638e+25 -0.90727 8.7504 271.4
-2.5542e-08 1.3055e-08 2.5606e+25 -0.99181 8.9839 271.28
-2.5542e-08 1.419e-08 2.5586e+25 -1.289 9.2429 271.25
-2.5542e-08 1.5325e-08 2.5514e+25 -1.0524 9.2094 271.32
-2.5542e-08 1.646e-08 2.5439e+25 -0.82771 9.3569 271.65
-2.5542e-08 1.7595e-08 2.5409e+25 -0.75985 9.4424 271.6
-2.5542e-08 1.873e-08 2.5375e+25 -0.5135 9.3241 271.56
-2.5542e-08 1.9866e-08 2.5314e+25 -0.39395 9.021 271.36
-2.5542e-08 2.1001e-08 2.5263e+25 0.213 8.9883 271.67
-2.5542e-08 2.2136e-08 2.5244e+25 0.28079 8.7496 271.71
-2.5542e-08 2.3271e-08 2.5191e+25 1.0705 8.2806 271.63
-2.5542e-08 2.4406e-08 2.5169e+25 1.5718 7.6518 271.92
-2.5542e-08 2.5542e-08 2.5136e+25 2.3134 6.7819 272.24
-2.5542e-08 2.6677e-08 2.5179e+25 3.9089 5.7188 272.36
-2.5542e-08 2.7812e-08 2.524e+25 5.874 4.4046 272.73
-2.5542e-08 2.8947e-08 2.5346e+25 8.6865 2.8414 273.21
-2.5542e-08 3.0082e-08 2.5484e+25 12.505 1.3227 273.94
-2.5542e-08 3.1217e-08 2.5604e+25 17.741 0.26622 274.7
-2.4406e-08 -3.1217e-08 2.6245e+25 -1.043 0.073547 272.53
-2.4406e-08 -3.0082e-08 2.6274e+25 -1.3687 0.10162 272.45
-2.4406e-08 -2.8947e-08 2.629e+25 -1.3758 0.34484 272.69
-2.4406e-08 -2.7812e-08 2.6286e+25 -1.225 0.72607 272.6
-2.4406e-08 -2.6677e-08 2.6324e+25 -1.3922 0.82901 272.61
-2.4406e-08 -2.5542e-08 2.6314e+25 -1.2028 0.94387 272.7
-2.4406e-08 -2.4406e-08 2.6328e+25 -1.2628 1.2021 272.24
