TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=BLOCK
-1.67242e-06 -4.06158e-06 2.70439e+25 -7.06947 1.39976 270.716 
-1.69631e-05 -3.58375e-06 2.68343e+25 0.021427 0.802248 271.793 
-1.50517e-05 -3.58375e-06 2.68247e+25 -0.295343 2.4385 272.623 
-1.31404e-05 -3.58375e-06 2.68485e+25 -0.336841 3.46784 273.145 
-1.12291e-05 -3.58375e-06 2.69606e+25 0.193106 3.45281 271.427 
-9.31775e-06 -3.58375e-06 2.69961e+25 -2.75887 3.57558 270.87 
-7.40642e-06 -3.58375e-06 2.68932e+25 -3.93157 2.85992 272.127 
-5.49508e-06 -3.58375e-06 2.67698e+25 -6.02172 3.1908 272.632 
-3.58375e-06 -3.58375e-06 2.71083e+25 -6.78019 1.79364 270.718 
-1.67242e-06 -3.58375e-06 2.69957e+25 -7.84125 1.21073 271.128 
-1.69631e-05 -3.10592e-06 2.68957e+25 -0.187593 1.12862 272.308 
-1.50517e-05 -3.10592e-06 2.69027e+25 -1.01333 2.78084 272.099 
-1.31404e-05 -3.10592e-06 2.69074e+25 -0.477317 3.23368 272.76 
-1.12291e-05 -3.10592e-06 2.69211e+25 -0.694728 3.24662 271.386 
-9.31775e-06 -3.10592e-06 2.69372e+25 -2.97385 4.05352 271.545 
-7.40642e-06 -3.10592e-06 2.67464e+25 -4.03223 2.35958 273.68 
-5.49508e-06 -3.10592e-06 2.67718e+25 -5.96531 3.48715 272.901 
-3.58375e-06 -3.10592e-06 2.69485e+25 -7.57064 2.32577 271.043 
-1.67242e-06 -3.10592e-06 2.71064e+25 -7.31628 0.779773 271 
-1.69631e-05 -2.62808e-06 2.69191e+25 0.478453 0.903994 272.634 
-1.50517e-05 -2.62808e-06 2.69033e+25 -1.45144 2.96161 272.099 
-1.31404e-05 -2.62808e-06 2.68817e+25 -0.388288 3.08502 272.43 
-1.12291e-05 -2.62808e-06 2.68949e+25 0.198889 2.94727 271.387 
-9.31775e-06 -2.62808e-06 2.69715e+25 -1.45606 5.35456 271.014 
-7.40642e-06 -2.62808e-06 2.67593e+25 -4.36944 2.10667 273.427 
-5.49508e-06 -2.62808e-06 2.67445e+25 -4.6668 3.7252 273.241 
-3.58375e-06 -2.62808e-06 2.69852e+25 -6.80214 2.85481 271.635 
-1.67242e-06 -2.62808e-06 2.69529e+25 -6.73193 0.553898 271.318 
-1.69631e-05 -2.15025e-06 2.67807e+25 0.375566 0.244901 272.657 
-1.50517e-05 -2.15025e-06 2.69842e+25 -1.71363 2.99247 270.963 
-1.31404e-05 -2.15025e-06 2.68878e+25 0.454525 2.49651 272.22 
-1.12291e-05 -2.15025e-06 2.70326e+25 -0.791506 2.43787 270.907 
-9.31775e-06 -2.15025e-06 2.69909e+25 -2.01514 5.9942 270.995 
-7.40642e-06 -2.15025e-06 2.68475e+25 -3.9602 2.8251 272.826 
-5.49508e-06 -2.15025e-06 2.67102e+25 -4.24011 3.67353 273.428 
-3.58375e-06 -2.15025e-06 2.684e+25 -5.88665 3.43862 272.351 
-1.67242e-06 -2.15025e-06 2.70136e+25 -7.45417 1.12963 270.663 
-1.69631e-05 -1.67242e-06 2.6852e+25 -0.317493 0.161752 273.366 
-1.50517e-05 -1.67242e-06 2.71365e+25 -0.219329 3.06908 270.098 
-1.31404e-05 -1.67242e-06 2.69806e+25 0.0337779 2.76101 271.705 
-1.12291e-05 -1.67242e-06 2.70329e+25 -0.510123 2.74893 271.074 
-9.31775e-06 -1.67242e-06 2.70131e+25 -1.96066 6.56991 270.529 
-7.40642e-06 -1.67242e-06 2.68257e+25 -4.47109 3.45176 273.016 
-5.49508e-06 -1.67242e-06 2.68353e+25 -4.18829 3.6511 273.075 
-3.58375e-06 -1.67242e-06 2.6858e+25 -4.17694 4.17872 272.7 
-1.67242e-06 -1.67242e-06 2.69953e+25 -7.80624 1.66324 270.803 
-1.69631e-05 -1.19458e-06 2.67188e+25 -0.0713439 0.784765 273.866 
-1.50517e-05 -1.19458e-06 2.70431e+25 0.0601026 3.38889 270.866 
-1.31404e-05 -1.19458e-06 2.68972e+25 0.284474 2.59555 271.375 
-1.12291e-05 -1.19458e-06 2.70119e+25 -1.148 3.61904 270.774 
-9.31775e-06 -1.19458e-06 2.68372e+25 -2.11668 6.94264 272.05 
-7.40642e-06 -1.19458e-06 2.69344e+25 -3.66823 4.54013 271.382 
-5.49508e-06 -1.19458e-06 2.68643e+25 -3.86242 3.41608 272.562 
-3.58375e-06 -1.19458e-06 2.69465e+25 -4.19387 4.88663 271.867 
-1.67242e-06 -1.19458e-06 2.69024e+25 -7.92236 2.79902 271.818 
-1.69631e-05 -7.1675e-07 2.68751e+25 0.00712478 0.401547 273.238 
-1.50517e-05 -7.1675e-07 2.6953e+25 -0.481207 3.40984 271.407 
-1.31404e-05 -7.1675e-07 2.69296e+25 0.133145 2.565 271.633 
-1.12291e-05 -7.1675e-07 2.70786e+25 -1.85321 4.40935 269.901 
-9.31775e-06 -7.1675e-07 2.68617e+25 -2.69877 6.1228 271.849 
-7.40642e-06 -7.1675e-07 2.70135e+25 -2.23752 4.79936 270.654 
-5.49508e-06 -7.1675e-07 2.69355e+25 -3.78205 3.41805 271.987 
-3.58375e-06 -7.1675e-07 2.68735e+25 -5.50851 4.42881 272.484 
-1.67242e-06 -7.1675e-07 2.7011e+25 -7.0453 3.91437 271.726 
-1.69631e-05 -2.38917e-07 2.68305e+25 -0.275554 0.760477 272.693 
-1.50517e-05 -2.38917e-07 2.69464e+25 0.585781 2.84176 271.653 
-1.31404e-05 -2.38917e-07 2.69611e+25 -0.022472 2.6252 270.719 
-1.12291e-05 -2.38917e-07 2.70689e+25 -2.27624 5.0238 270.302 
-9.31775e-06 -2.38917e-07 2.68816e+25 -2.14493 5.7269 272.346 
