TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.553e-05,-1.0273e-05,2.6916e+25,-0.075315,0.47178,272.04
-1.553e-05,-9.7956e-06,2.6909e+25,-0.14261,0.52079,272.1
-1.553e-05,-9.3178e-06,2.6904e+25,-0.12384,0.49146,272.14
-1.553e-05,-8.8399e-06,2.6889e+25,-0.13001,0.53887,272.19
-1.553e-05,-8.3621e-06,2.6904e+25,-0.20927,0.58849,272.16
-1.553e-05,-7.8842e-06,2.689e+25,-0.17352,0.65918,272.26
-1.553e-05,-7.4064e-06,2.6894e+25,-0.075532,0.77157,272.2
-1.553e-05,-6.9286e-06,2.691e+25,-0.11074,0.85195,272.1
-1.553e-05,-6.4508e-06,2.692e+25,-0.1545,0.97879,272.03
-1.553e-05,-5.9729e-06,2.6905e+25,-0.22217,1.1238,272.16
-1.553e-05,-5.4951e-06,2.6905e+25,-0.22627,1.1749,272.2
-1.553e-05,-5.0173e-06,2.6907e+25,-0.23073,1.2635,272.15
-1.553e-05,-4.5394e-06,2.6894e+25,-0.26438,1.4517,272.16
-1.553e-05,-4.0616e-06,2.6909e+25,-0.27846,1.632,272.05
-1.553e-05,-3.5838e-06,2.6905e+25,-0.30014,1.7602,272.08
-1.553e-05,-3.1059e-06,2.6901e+25,-0.29107,1.8353,272.14
-1.553e-05,-2.6281e-06,2.6902e+25,-0.21265,1.9454,272.14
-1.553e-05,-2.1502e-06,2.69e+25,-0.28066,2.0468,272.21
-1.553e-05,-1.6724e-06,2.6892e+25,-0.11396,2.1528,272.27
-1.553e-05,-1.1946e-06,2.6893e+25,-0.054644,2.2998,272.23
-1.553e-05,-7.1675e-07,2.6909e+25,-0.12319,2.3948,272.07
-1.553e-05,-2.3892e-07,2.6884e+25,-0.18147,2.486,272.14
-1.553e-05,2.3892e-07,2.6874e+25,-0.34045,2.5582,272.09
-1.553e-05,7.1675e-07,2.6901e+25,-0.29173,2.7001,272.09
-1.553e-05,1.1946e-06,2.6909e+25,-0.29706,2.8235,271.96
-1.553e-05,1.6724e-06,2.6909e+25,-0.085405,2.9699,271.95
-1.553e-05,2.1502e-06,2.69e+25,-0.099879,3.1285,272
-1.553e-05,2.6281e-06,2.6908e+25,-0.079805,3.2163,271.98
-1.553e-05,3.1059e-06,2.6897e+25,-0.065343,3.2051,272.08
-1.553e-05,3.5838e-06,2.6894e+25,-0.10677,3.2373,272.17
-1.553e-05,4.0616e-06,2.6885e+25,-0.11129,3.2684,272.12
-1.553e-05,4.5394e-06,2.687e+25,-0.1711,3.3739,272.23
-1.553e-05,5.0173e-06,2.6875e+25,-0.25283,3.5611,272.2
-1.553e-05,5.4951e-06,2.6882e+25,-0.3195,3.6309,272.15
-1.553e-05,5.9729e-06,2.6868e+25,-0.33812,3.6907,272.21
-1.553e-05,6.4508e-06,2.687e+25,-0.22061,3.8198,272.23
-1.553e-05,6.9286e-06,2.6861e+25,-0.23745,4.0086,272.25
-1.553e-05,7.4064e-06,2.6867e+25,-0.25776,4.1932,272.25
-1.553e-05,7.8842e-06,2.6877e+25,-0.29464,4.3612,272.12
-1.553e-05,8.3621e-06,2.6874e+25,-0.38312,4.492,272.09
-1.553e-05,8.8399e-06,2.6872e+25,-0.41878,4.6201,272.09
-1.553e-05,9.3178e-06,2.686e+25,-0.50514,4.8159,272.18
-1.553e-05,9.7956e-06,2.6855e+25,-0.51689,5.0563,272.16
-1.553e-05,1.0273e-05,2.6858e+25,-0.6916,5.3684,272.24
-1.553e-05,1.0751e-05,2.686e+25,-0.78068,5.7075,272.16
-1.553e-05,1.1229e-05,2.6853e+25,-0.90106,6.0393,272.18
-1.553e-05,1.1707e-05,2.6846e+25,-1.0309,6.4643,272.17
-1.553e-05,1.2185e-05,2.6837e+25,-1.2549,6.9358,272.18
-1.553e-05,1.2663e-05,2.6835e+25,-1.5487,7.4761,272.21
-1.553e-05,1.314e-05,2.6841e+25,-1.8539,8.0333,272.08
-1.553e-05,1.3618e-05,2.6825e+25,-2.3275,8.6822,272.08
-1.553e-05,1.4096e-05,2.6812e+25,-2.775,9.3961,272.12
-1.553e-05,1.4574e-05,2.6808e+25,-3.1066,9.9596,272
-1.553e-05,1.5052e-05,2.6769e+25,-3.1065,10.164,272.22
-1.553e-05,1.553e-05,2.6723e+25,-2.1018,9.6601,272.49
-1.553e-05,1.6007e-05,2.6695e+25,1.0961,7.971,272.68
-1.553e-05,1.6485e-05,2.665e+25,8.5745,4.8744,272.99
-1.553e-05,1.6963e-05,2.6649e+25,21.924,1.3805,273.25
-1.5052e-05,-1.6963e-05,2.6836e+25,0.044485,-0.010753,272.83
-1.5052e-05,-1.6485e-05,2.6866e+25,0.057932,0.017482,272.53
-1.5052e-05,-1.6007e-05,2.6884e+25,0.021149,0.078703,272.46
-1.5052e-05,-1.553e-05,2.6898e+25,-0.013604,0.093014,272.27
-1.5052e-05,-1.5052e-05,2.6906e+25,0.084965,0.10494,272.17
-1.5052e-05,-1.4574e-05,2.6907e+25,0.03314,0.10717,272.13
